university,year,rank,score,link,country,city,region,logo,type,research,student_faculty_ratio,international_students,size,faculty_count
"Massachusetts Institute of Technology (MIT) ,2017,1,100.0,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4.0,""3,730"",M,""3,065"""
"Stanford University,2017,2,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3.0,""3,879"",L,""4,725"""
"Harvard University,2017,3,98.3,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5.0,""5,877"",L,""4,646"""
"University of Cambridge,2017,4,97.2,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4.0,""7,925"",L,""5,800"""
California Institute of Technology (Caltech),2017,5,96.9,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2.0,692,S,968
"University of Oxford,2017,6,96.8,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3.0,""8,442"",L,""6,708"""
"UCL,2017,7,95.6,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,Public,Very High,5.0,""21,824"",XL,""7,195"""
"ETH Zurich - Swiss Federal Institute of Technology,2017,8,94.2,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,Public,Very High,7.0,""7,733"",L,""2,719"""
"Imperial College London,2017,9,94.1,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,Public,Very High,5.0,""11,143"",L,""8,000"""
"University of Chicago,2017,10,93.0,https://www.topuniversities.com/universities/university-chicago,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,Private,Very High,6.0,""4,696"",L,""2,703"""
"Princeton University,2017,11,92.8,https://www.topuniversities.com/universities/princeton-university,United States,Princeton,North America,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,Private,Very High,8.0,""1,912"",M,""1,050"""
"National University of Singapore (NUS),2017,12,91.5,https://www.topuniversities.com/universities/national-university-singapore-nus,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,Public,Very High,7.0,""7,551"",XL,""4,288"""
"Nanyang Technological University Singapore (NTU),2017,13,91.4,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,Public,Very High,6.0,""6,091"",L,""3,812"""
"EPFL,2017,14,91.1,https://www.topuniversities.com/universities/epfl,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,Public,Very High,6.0,""6,426"",M,""1,767"""
"Yale University,2017,15,90.9,https://www.topuniversities.com/universities/yale-university,United States,New Haven,North America,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,Private,Very High,2.0,""2,537"",M,""5,391"""
"Cornell University,2017,16,90.1,https://www.topuniversities.com/universities/cornell-university,United States,Ithaca,North America,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,Private,Very High,8.0,""5,675"",L,""2,843"""
"Johns Hopkins University,2017,17,89.3,https://www.topuniversities.com/universities/johns-hopkins-university,United States,Baltimore,North America,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,Private,Very High,3.0,""5,070"",L,""4,855"""
"University of Pennsylvania,2017,18,89.0,https://www.topuniversities.com/universities/university-pennsylvania,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,Private,Very High,4.0,""4,636"",L,""5,154"""
"The University of Edinburgh,2017,19,88.9,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,Public,Very High,7.0,""14,637"",XL,""4,832"""
"Columbia University,2017,20,88.6,https://www.topuniversities.com/universities/columbia-university,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/columbia-university_138_small.jpg,Private,Very High,4.0,""11,252"",L,""7,087"""
"King's College London,2017,21,87.7,https://www.topuniversities.com/universities/kings-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg,Public,Very High,7.0,""15,075"",L,""4,216"""
"The Australian National University,2017,22,87.3,https://www.topuniversities.com/universities/australian-national-university,Australia,Canberra,Oceania,https://www.topuniversities.com/sites/default/files/the-australian-national-university_40_small.jpg,Public,Very High,9.0,""6,496"",L,""1,763"""
"University of Michigan-Ann Arbor,2017,23,86.4,https://www.topuniversities.com/universities/university-michigan-ann-arbor,United States,Ann Arbor,North America,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg,Public,Very High,6.0,""7,341"",XL,""7,132"""
"Tsinghua University,2017,24,86.0,https://www.topuniversities.com/universities/tsinghua-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg,Public,Very High,6.0,""5,420"",XL,""6,174"""
"Duke University,2017,24,86.0,https://www.topuniversities.com/universities/duke-university,United States,Durham,North America,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,Private,Very High,3.0,""3,445"",L,""5,673"""
"Northwestern University,2017,26,85.7,https://www.topuniversities.com/universities/northwestern-university,United States,Evanston,North America,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,Private,Very High,5.0,""3,846"",L,""3,652"""
"The University of Hong Kong,2017,27,85.4,https://www.topuniversities.com/universities/university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,Public,Very High,7.0,""8,311"",L,""2,944"""
"University of California, Berkeley (UCB),2017,28,85.2,https://www.topuniversities.com/universities/university-california-berkeley-ucb,United States,Berkeley,North America,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,Public,Very High,11.0,""9,428"",XL,""3,701"""
"The University of Manchester,2017,29,84.8,https://www.topuniversities.com/universities/university-manchester,United Kingdom,Manchester,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,Public,Very High,8.0,""16,079"",XL,""4,889"""
"McGill University,2017,30,84.1,https://www.topuniversities.com/universities/mcgill-university,Canada,Montreal,North America,https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg,Public,Very High,7.0,""10,827"",L,""3,876"""
"University of California Los Angeles (UCLA),2017,31,84.0,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,United States,Los Angeles,North America,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,Public,Very High,10.0,""6,140"",XL,""4,487"""
"University of Toronto,2017,32,83.8,https://www.topuniversities.com/universities/university-toronto,Canada,Toronto,North America,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg,Public,Very high,8.0,""27,536"",XL,""9,881"""
Ecole normale supérieure Paris,2017,33,79.9,https://www.topuniversities.com/universities/ecole-normale-superieure-paris,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/ecole-normale-suprieure-paris_176_small.jpg,Public,Very High,11.0,374,S,178
"The University of Tokyo,2017,34,82.6,https://www.topuniversities.com/universities/university-tokyo,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg,Public,Very High,6.0,""3,983"",L,""4,473"""
"Seoul National University,2017,35,82.1,https://www.topuniversities.com/universities/seoul-national-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,Public,Very High,7.0,""1,914"",L,""3,859"""
"The Hong Kong University of Science and Technology,2017,36,81.8,https://www.topuniversities.com/universities/hong-kong-university-science-technology,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg,Public,Very High,8.0,""3,033"",M,697"
"Kyoto University,2017,37,81.7,https://www.topuniversities.com/universities/kyoto-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg,Public,Very High,6.0,""2,863"",L,""3,911"""
"The London School of Economics and Political Science (LSE),2017,37,81.7,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,Public,Very High,10.0,""8,274"",M,""1,172"""
"Peking University,2017,39,81.3,https://www.topuniversities.com/universities/peking-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,Public,Very High,6.0,""5,436"",XL,""5,302"""
"University of California San Diego (UCSD),2017,40,80.6,https://www.topuniversities.com/universities/university-california-san-diego-ucsd,United States,San Diego,North America,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg,Public,Very High,8.0,""8,567"",XL,""4,545"""
"University of Bristol,2017,41,79.6,https://www.topuniversities.com/universities/university-bristol,United Kingdom,Bristol,Europe,https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg,Public,Very High,8.0,""7,483"",L,""20,311"""
"The University of Melbourne,2017,42,79.5,https://www.topuniversities.com/universities/university-melbourne,Australia,Parkville,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-melbourne_399_small.jpg,Public,Very high,19.0,""21,406"",S,""4,835"""
"Fudan University,2017,43,79.4,https://www.topuniversities.com/universities/fudan-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg,Public,Very High,6.0,""5,322"",L,""4,526"""
"The Chinese University of Hong Kong (CUHK),2017,44,78.1,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg,Public,Very High,8.0,""6,062"",L,""2,201"""
"University of British Columbia,2017,45,78.0,https://www.topuniversities.com/universities/university-british-columbia,Canada,Vancouver,North America,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg,Public,Very High,9.0,""15,399"",XL,""6,201"""
"The University of Sydney,2017,46,77.9,https://www.topuniversities.com/universities/university-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,Public,Very High,13.0,""25,940"",XL,""3,571"""
"New York University (NYU),2017,46,77.9,https://www.topuniversities.com/universities/new-york-university-nyu,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg,Private,Very High,6.0,""16,218"",XL,""7,874"""
"KAIST - Korea Advanced Institute of Science & Technology,2017,46,77.9,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology,South Korea,Daejeon,Asia,https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg,Public,Very High,8.0,869,M,""1,307"""
"The University of New South Wales (UNSW Sydney),2017,49,77.8,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg,Public,Very High,14.0,""21,603"",XL,""3,219"""
"Brown University,2017,49,77.8,https://www.topuniversities.com/universities/brown-university,United States,Providence,North America,https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg,Private,Very High,7.0,""2,002"",M,""1,389"""
"The University of Queensland,2017,51,77.6,https://www.topuniversities.com/universities/university-queensland,Australia,Brisbane,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-queensland_515_small.jpg,Public,Very High,12.0,""22,241"",XL,""3,513"""
"The University of Warwick,2017,51,77.6,https://www.topuniversities.com/universities/university-warwick,United Kingdom,Coventry,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg,Public,Very High,9.0,""10,459"",L,""2,634"""
"University of Wisconsin-Madison,2017,53,75.7,https://www.topuniversities.com/universities/university-wisconsin-madison,United States,Madison,North America,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg,Public,Very High,8.0,""5,737"",XL,""5,166"""
"Ecole Polytechnique,2017,53,69.9,https://www.topuniversities.com/universities/ecole-polytechnique,France,Palaiseau,Europe,https://www.topuniversities.com/sites/default/files/ecole-polytechnique_592560cf2aeae70239af4b36_small.jpg,Public,Very High,5.0,""1,248"",S,633"
"City University of Hong Kong,2017,55,75.4,https://www.topuniversities.com/universities/city-university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,Public,Very High,6.0,""5,331"",M,""1,483"""
"Tokyo Institute of Technology (Tokyo Tech),2017,56,74.9,https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg,Public,Very High,7.0,""1,622"",M,""1,492"""
"University of Amsterdam,2017,57,74.3,https://www.topuniversities.com/universities/university-amsterdam,Netherlands,Amsterdam,Europe,https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg,Public,Very High,11.0,""7,969"",XL,""6,000"""
"Carnegie Mellon University,2017,58,74.2,https://www.topuniversities.com/universities/carnegie-mellon-university,United States,Pittsburgh,North America,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg,Private,Very High,9.0,""5,739"",L,""1,534"""
"University of Washington,2017,59,73.9,https://www.topuniversities.com/universities/university-washington,United States,Seattle,North America,https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg,Public,Very High,15.0,""7,362"",XL,""2,796"""
"Technical University of Munich,2017,60,72.4,https://www.topuniversities.com/universities/technical-university-munich,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg,Public,Very High,5.0,""11,447"",XL,""6,663"""
"Shanghai Jiao Tong University,2017,61,72.2,https://www.topuniversities.com/universities/shanghai-jiao-tong-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg,Public,Very High,9.0,""6,371"",XL,""4,386"""
"Delft University of Technology,2017,62,72.1,https://www.topuniversities.com/universities/delft-university-technology,Netherlands,Delft,Europe,https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg,Public,Very High,10.0,""6,104"",L,""2,041"""
"Osaka University,2017,63,71.7,https://www.topuniversities.com/universities/osaka-university,Japan,Osaka City,Asia,https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg,Public,Very High,7.0,""2,268"",L,""3,127"""
"University of Glasgow,2017,63,71.7,https://www.topuniversities.com/universities/university-glasgow,United Kingdom,Glasgow,Europe,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg,Public,Very High,9.0,""11,065"",L,""3,314"""
"Monash University,2017,65,71.6,https://www.topuniversities.com/universities/monash-university,Australia,Melbourne,Oceania,https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg,Public,Very High,15.0,""31,049"",XL,""3,852"""
"University of Illinois at Urbana-Champaign,2017,66,71.4,https://www.topuniversities.com/universities/university-illinois-urbana-champaign,United States,Champaign,North America,https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg,Public,Very High,17.0,""9,987"",XL,""2,748"""
"University of Texas at Austin,2017,67,70.7,https://www.topuniversities.com/universities/university-texas-austin,United States,Austin,North America,https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg,Public,Very High,17.0,""4,953"",XL,""2,887"""
"Ludwig-Maximilians-Universität München,2017,68,70.2,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg,Public,Very High,9.0,""5,958"",XL,""3,914"""
"National Taiwan University (NTU),2017,68,70.2,https://www.topuniversities.com/universities/national-taiwan-university-ntu,Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg,Public,Very High,10.0,""5,058"",L,""2,939"""
"University of Copenhagen,2017,68,70.2,https://www.topuniversities.com/universities/university-copenhagen,Denmark,Copenhagen,Europe,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg,Public,Very High,4.0,""4,135"",XL,""7,293"""
"Georgia Institute of Technology,2017,71,69.8,https://www.topuniversities.com/universities/georgia-institute-technology,United States,Atlanta,North America,https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg,Public,Very High,19.0,""5,675"",L,""1,267"""
"Ruprecht-Karls-Universität Heidelberg,2017,72,69.7,https://www.topuniversities.com/universities/ruprecht-karls-universitat-heidelberg,Germany,Heidelberg,Europe,https://www.topuniversities.com/sites/default/files/ruprecht-karls-universitaet-heidelberg_259_small.jpg,Public,Very High,5.0,""4,048"",L,""4,100"""
"Lund University,2017,73,69.1,https://www.topuniversities.com/universities/lund-university,Sweden,Lund,Europe,https://www.topuniversities.com/sites/default/files/lund-university_371_small.jpg,Public,Very High,9.0,""6,682"",L,""3,040"""
"Durham University,2017,74,68.8,https://www.topuniversities.com/universities/durham-university,United Kingdom,Durham,Europe,https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg,Public,Very High,11.0,""6,174"",L,""1,775"""
"Tohoku University,2017,75,68.7,https://www.topuniversities.com/universities/tohoku-university,Japan,Sendai City,Asia,https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg,Public,Very High,5.0,""1,872"",L,""3,323"""
"University of Nottingham,2017,75,68.7,https://www.topuniversities.com/universities/university-nottingham,United Kingdom,Nottingham,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-nottingham_592560cf2aeae70239af4c4e_small.jpg,Public,Very High,10.0,""9,659"",XL,""3,386"""
"University of St Andrews,2017,77,68.2,https://www.topuniversities.com/universities/university-st-andrews,United Kingdom,St. Andrews,Europe,https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_small.jpg,Public,Very High,8.0,""4,377"",M,""1,208"""
"University of North Carolina Chapel Hill,2017,78,68.1,https://www.topuniversities.com/universities/university-north-carolina-chapel-hill,United States,Chapel Hill,North America,https://www.topuniversities.com/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg,Public,Very High,7.0,""2,749"",XL,""4,646"""
"KU Leuven,2017,79,67.9,https://www.topuniversities.com/universities/ku-leuven,Belgium,Leuven,Europe,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg,Public,Very High,18.0,""8,485"",XL,""2,677"""
"University of Zurich,2017,80,67.8,https://www.topuniversities.com/universities/university-zurich,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/university-of-zurich_693_small.jpg,Public,Very High,6.0,""5,044"",L,""3,761"""
"The University of Auckland,2017,81,67.3,https://www.topuniversities.com/universities/university-auckland,New Zealand,Auckland,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-auckland_592560cf2aeae70239af4aa8_small.jpg,Public,Very High,12.0,""9,924"",L,""2,316"""
"University of Birmingham,2017,82,67.2,https://www.topuniversities.com/universities/university-birmingham,United Kingdom,Birmingham,Europe,https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_small.jpg,Public,Very High,9.0,""10,457"",XL,""3,586"""
Pohang University of Science And Technology (POSTECH),2017,83,67.0,https://www.topuniversities.com/universities/pohang-university-science-technology-postech,South Korea,Pohang ,Asia,https://www.topuniversities.com/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg,Private,Very High,4.0,87,S,743
"The University of Sheffield,2017,84,66.9,https://www.topuniversities.com/universities/university-sheffield,United Kingdom,Sheffield,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-sheffield_592560cf2aeae70239af4cb1_small.jpg,Public,Very High,8.0,""11,090"",L,""3,463"""
"Universidad de Buenos Aires (UBA),2017,85,65.8,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba,Argentina,Buenos Aires,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_small.jpg,Public,Very High,7.0,""29,516"",XL,""16,103"""
"University of California Davis,2017,85,65.8,https://www.topuniversities.com/universities/university-california-davis,United States,Davis,North America,https://www.topuniversities.com/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_small.jpg,Public,Very High,10.0,""8,414"",XL,""3,420"""
"University of Southampton,2017,87,65.6,https://www.topuniversities.com/universities/university-southampton,United Kingdom,Southampton,Europe,https://www.topuniversities.com/sites/default/files/university-of-southampton_567_small.jpg,Public,Very High,9.0,""8,417"",L,""2,468"""
"The Ohio State University,2017,88,65.4,https://www.topuniversities.com/universities/ohio-state-university,United States,Columbus,North America,https://www.topuniversities.com/sites/default/files/the-ohio-state-university_465_small.jpg,Public,Very High,9.0,""7,029"",XL,""6,388"""
"Boston University,2017,89,65.2,https://www.topuniversities.com/universities/boston-university,United States,Boston,North America,https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg,Private,Very High,10.0,""8,159"",L,""2,642"""
"Rice University,2017,90,65.0,https://www.topuniversities.com/universities/rice-university,United States,Houston,North America,https://www.topuniversities.com/sites/default/files/rice-university_524_small.jpg,Private,Very High,7.0,""2,278"",M,996"
"University of Helsinki,2017,91,64.7,https://www.topuniversities.com/universities/university-helsinki,Finland,Helsinki,Europe,https://www.topuniversities.com/sites/default/files/university-of-helsinki_260_small.jpg,Public,Very High,8.0,""1,254"",L,""2,855"""
"Purdue University,2017,92,64.5,https://www.topuniversities.com/universities/purdue-university,United States,West Lafayette,North America,https://www.topuniversities.com/sites/default/files/purdue-university_510_small.jpg,Public,Very High,15.0,""8,034"",XL,""2,622"""
"University of Leeds,2017,93,64.2,https://www.topuniversities.com/universities/university-leeds,United Kingdom,Leeds,Europe,https://www.topuniversities.com/sites/default/files/university-of-leeds_338_small.jpg,Public,Very High,10.0,""11,584"",XL,""3,593"""
"University of Alberta,2017,94,64.0,https://www.topuniversities.com/universities/university-alberta,Canada,Edmonton,North America,https://www.topuniversities.com/sites/default/files/university-of-alberta_15_small.jpg,Public,Very High,9.0,""9,689"",XL,""3,645"""
"Pennsylvania State University,2017,95,63.6,https://www.topuniversities.com/universities/pennsylvania-state-university,United States,University Park,North America,https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_small.jpg,Public,Very High,11.0,""6,943"",XL,""4,207"""
"University of Geneva,2017,95,63.6,https://www.topuniversities.com/universities/university-geneva,Switzerland,Geneva,Europe,https://www.topuniversities.com/sites/default/files/university-of-geneva_221_small.jpg,Public,Very High,9.0,""6,547"",L,""1,814"""
"KTH Royal Institute of Technology ,2017,97,63.1,https://www.topuniversities.com/universities/kth-royal-institute-technology,Sweden,Stockholm,Europe,https://www.topuniversities.com/sites/default/files/kth-royal-institute-of-technology-_592560cf2aeae70239af4c9b_small.jpg,Public,Very High,8.0,""3,057"",L,""3,600"""
"Uppsala University,2017,98,62.8,https://www.topuniversities.com/universities/uppsala-university,Sweden,Uppsala,Europe,https://www.topuniversities.com/sites/default/files/uppsala-university_643_small.jpg,Public,Very High,10.0,""8,401"",L,""2,843"""
"Korea University,2017,98,62.8,https://www.topuniversities.com/universities/korea-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/korea-university_325_small.jpg,Private,Very High,6.0,""3,325"",L,""4,026"""
"Trinity College Dublin - The University of Dublin,2017,98,62.8,https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin,Ireland,Dublin,Europe,https://www.topuniversities.com/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_small.jpg,Public,Very High,12.0,""5,593"",L,""1,383"""
